,Wine Name,Country,Region,Winery,Rating,# Ratings,Price (€),Year,Type
74,Nero d'Avola - Syrah,Italy,Terre Siciliane,Roccaperciata,3.7,102,4.75,2018,Red
75,La Bienquerida,Spain,Bierzo,Losada,4.1,102,35.97,2013,Red
76,Bonera,Italy,Terre Siciliane,Mandrarossa,3.7,102,9.5,2018,Red
77,Noi 4 Bolgheri,Italy,Bolgheri,Tenuta dei Sette Cieli,4.0,102,23.5,2016,Red
78,Pinot Noir,New Zealand,Marlborough,Clos Henri Vineyard,3.9,102,27.78,2016,Red
79,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Grand Barrail Lamarzelle Figeac,3.9,102,39.95,2005,Red
80,Gran Selección Tempranillo,Spain,Castilla,Viña San Juan,3.4,102,6.75,2017,Red
81,Syrah,South Africa,Paarl,Glen Carlou,3.9,102,18.25,2017,Red
82,Zweigelt,Austria,Burgenland,Judith Beck,3.9,102,10.6,2017,Red
83,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château Vieux Clos St. Emilion,4.1,102,23.09,2015,Red
84,Listán Negro,Spain,Lanzarote,Bermejo,3.6,102,17.95,2017,Red
85,Viile Metamorfosis Merlot,Romania,Dealu Mare,Vitis Metamorfosis,3.5,102,7.5,2015,Red
86,Merlot - Cabernet Sauvignon - Petit Verdot,South Africa,Walker Bay,Creation,3.9,102,12.48,2014,Red
87,RWT Shiraz,Australia,Barossa Valley,Penfolds,4.4,102,229.0,2017,Red
88,Fronton,France,Fronton,Château Bellevue La Forét,3.5,102,6.95,2018,Red
89,Costers Del Gravet Montsant,Spain,Montsant,Capçanes,3.7,102,13.95,2013,Red
90,Merlot,Italy,Terre Siciliane,Cusumano,3.4,102,7.9,2018,Red
91,Pinot Noir,Austria,Burgenland,Paul Achs,3.7,102,33.05,2015,Red
92,Coume de l'Olla Rouge,France,Vin de France,Matassa,4.1,102,16.96,2019,Red
93,Schwarzer,Germany,Pfalz,Weingut Metzger,3.6,102,13.15,2017,Red
94,Haut-Médoc,France,Haut-Médoc,Château Beaumont,3.8,1020,17.36,2015,Red
95,Bourgogne Pinot Noir (La Vignée),France,Bourgogne,Bouchard Père & Fils,3.6,1020,17.59,2015,Red
96,Pinot Noir,South Africa,Hemel-en-Aarde Valley,Hamilton Russell Vineyards,4.2,1022,49.09,2017,Red
97,Zinfandel,United States,California,Geyser Peak,3.7,1023,10.9,2016,Red
98,Valpolicella Ripasso Classico Superiore,Italy,Valpolicella Ripasso Classico,Bolla,3.7,1024,15.5,2017,Red
99,Rosso di Montalcino,Italy,Rosso di Montalcino,Castiglion del Bosco,3.9,1025,26.5,2015,Red
100,Ripanço Private Selection Alentejano,Portugal,Alentejano,José Maria da Fonseca,3.7,1026,8.6,2016,Red
101,Riserva Cannonau di Sardegna,Italy,Cannonau di Sardegna,Sella & Mosca,3.8,1027,10.66,2017,Red
102,60 Sessantanni Old Vines Primitivo di Manduria,Italy,Primitivo di Manduria,San Marzano,4.4,1028,17.24,2016,Red
103,Kith & Kin Cabernet Sauvignon,United States,Napa Valley,Round Pond Estate,4.2,1028,38.5,2017,Red
104,Zinfandel,United States,California,Rombauer Vineyards,4.3,1029,34.12,2017,Red
105,Cerro Añon Rioja Gran Reserva,Spain,Rioja,Bodegas Olarra,4.1,103,14.65,2011,Red
106,Bush Vine GSM (Shiraz - Grenache - Mourvedre),Australia,McLaren Vale,Geoff Merrill,4.0,103,14.57,2013,Red
107,Plaer Vinyes Velles,Spain,Priorat,Acustic Celler,4.1,103,26.18,2016,Red
108,Cabernet - Shiraz,Spain,La Mancha,Añoranza,3.4,103,3.95,2016,Red
109,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru,Château La Confession,3.9,103,26.9,2014,Red
110,Comte de Sénéjac Haut-Médoc,France,Haut-Médoc,Château Sénéjac,3.7,103,16.83,2011,Red
111,Gran Masetto Teroldego,Italy,Trentino,Endrizzi,4.4,103,39.9,2014,Red
112,Barolo Mariondino,Italy,Barolo,Parusso,4.1,103,39.9,2015,Red
113,Crianza,Spain,Rioja,Berceo,3.6,103,9.9,2016,Red
114,Apogee Pepper Bridge Vineyard,United States,Walla Walla Valley,L'Ecole No 41,4.1,103,46.9,2013,Red
115,Gamma Red Blend,Spain,Navarra,Bodegas Piedemonte,3.4,103,6.15,2018,Red
116,Peyres Nobles Rouge,France,Corbières,Château Camplong,4.0,103,6.5,2018,Red
117,Lemartine Toscana,Italy,Toscana,Poggio Antico,4.1,103,29.67,2015,Red
118,Organic Cabernet,Australia,South Australia,Farm Hand,3.7,103,7.79,2018,Red
119,Pomerol,France,Pomerol,Château Nénin,4.1,103,240.0,1999,Red
120,Malterdinger Alte Reben Spätburgunder,Germany,Baden,Bernhard Huber,4.1,103,38.69,2016,Red
121,Cabernet Franc,South Africa,Franschhoek,Anthonij Rupert,4.2,103,59.95,2012,Red
122,Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Valandraud,4.4,103,193.02,2002,Red
123,Bramare Rebon Vineyard Malbec,Argentina,Mendoza,Viña Cobos,4.6,103,75.07,2017,Red
124,Merlot Reserva,Brazil,Vale dos Vinhedos,Pizzato,3.2,103,15.9,2008,Red
125,Brunello di Montalcino Pianrosso,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.4,103,66.29,2015,Red
126,François de Tournon Saint-Joseph,France,Saint-Joseph,Delas,3.9,103,29.15,2016,Red
127,Estibals Minervois,France,Minervois,L'Ostal Cazes,3.6,103,10.99,2018,Red
128,Barbera - Garnacha,Chile,Maule Valley,Erasmo,3.5,103,12.62,2017,Red
129,Roi des Lézards,France,Côtes Catalanes,Domaine Les Enfants Sauvages,3.9,103,19.4,2014,Red
130,One Point Five Cabernet Sauvignon,United States,Stags Leap District,Shafer,4.5,1030,120.01,2016,Red
131,Barbaresco,Italy,Barbaresco,Gaja,4.4,1030,199.9,2013,Red
132,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Branaire-Ducru,3.9,1030,59.54,2006,Red
133,Médoc,France,Médoc,Château Potensac,3.8,1033,39.69,2012,Red
134,Pieve Santa Restituta Brunello di Montalcino,Italy,Brunello di Montalcino,Gaja,4.3,1035,59.9,2014,Red
135,Gran Maestro Primitivo di Manduria,Italy,Primitivo di Manduria,Maestro Italiano,4.1,1036,9.75,2017,Red
136,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Barton,4.2,1037,87.24,2011,Red
137,Inferno (Aged in Whiskey Barrels - Limited Release),United States,California,Apothic,3.8,1037,14.56,2017,Red
138,Pessac-Léognan (Grand Cru Classé de Graves),France,Pessac-Léognan,Château Pape Clément,4.3,1037,161.1,2007,Red
139,Faithful Hound Red,South Africa,Stellenbosch,Mulderbosch,4.0,1038,14.9,2015,Red
140,Serego Alighieri Vaio Armaron Amarone della Valpolicella Classico,Italy,Amarone della Valpolicella,Masi,4.3,1039,69.0,2012,Red
141,Rosso di Montalcino,Italy,Rosso di Montalcino,Talenti,3.7,104,14.43,2018,Red
142,Chianti,Italy,Chianti,Sammontana,3.7,104,8.9,2017,Red
143,Azul,Spain,Ribera del Queiles,Guelbenzu,3.8,104,6.99,2015,Red
144,Sanct Valentin Riserva Pinot Noir,Italy,Südtirol - Alto Adige,St. Michael-Eppan,4.1,104,33.2,2017,Red
145,Mas Collet Barrica,Spain,Montsant,Capçanes,3.5,104,21.91,2009,Red
146,Valpolicella Ripasso Classico Superiore,Italy,Valpolicella Ripasso Classico,Paolo Cottini,4.0,104,16.9,2016,Red
147,Toscana Poggio Ai Merli,Italy,Toscana,Castellare,4.3,104,69.0,2016,Red
148,Viña Aljibes Red Blend,Spain,Castilla,Finca Los Aljibes,3.4,104,8.2,2016,Red
149,Châteauneuf-du-Pape (La Crau),France,Châteauneuf-du-Pape,Domaine du Vieux Télégraphe,4.4,104,79.95,2017,Red
150,Châteauneuf-Du-Pape La Paillousse Terroir D'Exception Rouge,France,Châteauneuf-du-Pape,Pierre Amadieu,4.0,104,26.23,2015,Red
151,Mencia,Spain,Valdeorras,Viña Costeira,3.2,104,8.28,2015,Red
152,Santenay Clos de Malte,France,Santenay,Louis Jadot,4.1,104,32.0,2016,Red
153,Sudisfà Roero Riserva,Italy,Roero,Negro Angelo,4.1,104,29.9,2015,Red
154,Léa Les Aspres Côtes du Roussillon Rouge,France,Côtes du Roussillon,Domaine Lafage,4.0,104,19.95,2012,Red
155,Alleanza,Italy,Toscana,Castello di Gabbiano,4.1,104,26.95,2012,Red
156,Valpolicella Ripasso Classico Superiore Solane,Italy,Valpolicella Ripasso,Santi,3.7,1040,14.75,2015,Red
157,Crianza,Spain,Binissalem-Mallorca,Bodegas José L. Ferrer,3.8,1040,11.95,2015,Red
158,Courela Tinto,Portugal,Alentejano,Cortes de Cima,3.6,1040,5.65,2016,Red
159,Barbera d'Alba Tre Vigne,Italy,Barbera d'Alba,Vietti,3.8,1040,19.5,2015,Red
160,No Name,Italy,Piemonte,Borgogno,4.0,1041,34.32,2014,Red
161,Rioja Bordón Reserva,Spain,Rioja,Franco-Espanolas,3.8,1045,10.85,2011,Red
162,Pian delle Vigne Brunello di Montalcino,Italy,Brunello di Montalcino,Antinori,4.3,1046,45.6,2014,Red
163,Almiréz,Spain,Toro,Teso La Monja,4.0,1046,14.95,2016,Red
164,Colheita Seleccionada Rouge,Portugal,Alentejano,Rapariga da Quinta,3.2,1046,11.7,2010,Red
165,Ammasso Rosso Sicilia,Italy,Sicilia,Barone Montalto,4.2,1047,16.34,2016,Red
166,Côtes du Rhône Nature Rouge,France,Côtes-du-Rhône,Famille Perrin,3.6,1049,10.45,2016,Red
167,Russian River Valley Zinfandel,United States,Russian River Valley,DeLoach,3.5,105,18.49,2015,Red
168,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Las Cases,4.6,105,330.45,2016,Red
169,Halkidiki Limnio - Merlot,Greece,Chalkidiki,Tsantali,3.2,105,12.49,2013,Red
170,Pomerol,France,Pomerol,Château l'Ecuyer,4.2,105,43.16,2015,Red
171,Toar Valpolicella Classico Superiore,Italy,Valpolicella Classico,Masi,3.7,105,15.6,2016,Red
172,Arbòre Cannonau di Sardegna,Italy,Cannonau di Sardegna,Gabbas,4.0,105,21.9,2012,Red
173,Ángeles de Amaren Tempranillo - Graciano,Spain,Rioja,Bodegas Amaren,4.2,105,15.95,2015,Red
174,Barbera,Italy,Piemonte,Serre dei Roveri,3.3,105,6.15,2018,Red
175,Amarone della Valpolicella,Italy,Amarone della Valpolicella,Zýmē,4.5,105,96.9,2006,Red
176,Castillo de Jumilla Monastrell - Tempranillo,Spain,Jumilla,Bleda,3.5,105,5.33,2018,Red
177,Hommage Lirac,France,Lirac,Domaine Coudoulis,3.9,105,19.01,2016,Red
178,Poggio d'Arna Toscana,Italy,Toscana,Tenuta di Sesta,3.6,105,12.9,2014,Red
179,Vinya Le Havre Reserva Cabernet Sauvignon,Spain,Penedès,Jean Leon,4.0,105,25.75,2013,Red
180,Brunello di Montalcino,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.8,105,32.75,2014,Red
181,Sor Ugo Bolgheri Superiore,Italy,Bolgheri Superiore,Aia Vecchia,4.3,105,23.94,2017,Red
182,Ses Nines Negre,Spain,Binissalem-Mallorca,Tianna Negre,3.8,105,11.25,2018,Red
183,Terrassen Zweigelt Blauer,Austria,Wachau,Domäne Wachau,3.7,105,9.95,2018,Red
184,Rosso di Montalcino,Italy,Rosso di Montalcino,Ciacci Piccolomini d'Aragona,4.1,105,16.47,2018,Red
185,Riva Ranch Pinot Noir (Reliz Creek),United States,Arroyo Seco,Wente,3.9,105,24.15,2017,Red
186,Altos R Tempranillo,Spain,Rioja,Altos de Rioja,3.4,105,6.9,2017,Red
187,Amarone della Valpolicella Classico,Italy,Amarone della Valpolicella Classico,Zenato,4.2,105,43.61,2016,Red
188,Potenti Toscana (Suvereto),Italy,Toscana,Petra,3.9,105,39.58,2015,Red
189,Trentatre 33 Rosso,Italy,Salento,Rocca,3.6,105,6.95,2017,Red
190,Pievasciata Rosso,Italy,Toscana,Vallepicciola,4.1,105,14.9,2016,Red
191,Brunello di Montalcino,Italy,Brunello di Montalcino,Tenute Silvio Nardi,3.9,1050,35.5,2013,Red
192,The Barossan Shiraz,Australia,Barossa Valley,Peter Lehmann,3.8,1051,16.48,2017,Red
193,Nero d'Avola,Italy,Terre Siciliane,Colosi,3.8,1055,8.68,2017,Red
194,Bordeaux,France,Bordeaux,Jean-Pierre Moueix,3.5,1056,10.21,2015,Red
195,Cabernet Sauvignon,United States,California,Woodbridge by Robert Mondavi,3.4,1056,8.95,2018,Red
196,Tinto,Portugal,Lisboa,Porta 6,3.7,1056,9.12,2018,Red
197,Délicate,South Africa,Stellenbosch,De Toren,4.1,1056,14.38,N.V.,Red
198,Aglianico Rubrato,Italy,Irpinia,Feudi di San Gregorio,3.5,1057,10.95,2014,Red
199,Gran Verano Cabernet Sauvignon,Chile,Central Valley,Apaltagua,3.4,1059,6.95,2018,Red
200,Grand Estates Merlot,United States,Columbia Valley,Columbia Crest,3.7,1059,12.4,2015,Red
201,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Beychevelle,4.0,106,86.76,2017,Red
202,Copa Santa La Méjanelle,France,Languedoc,Clavel,4.0,106,17.9,2015,Red
203,Cantodoro,Italy,Sicilia,Feudo Arancio,3.6,106,8.5,2016,Red
204,Vitiano San Lorenzo,Italy,Castel San Lorenzo,Falesco,3.9,106,11.95,2014,Red
205,Disueri Nero d'Avola,Italy,Sicilia,Cusumano,3.6,106,7.7,2018,Red
206,Kirschgarten Spatburgunder GG,Germany,Pfalz,Knipser,4.2,106,39.95,2013,Red
207,B,Spain,Ribera del Duero,Baden Numen,3.8,106,11.21,2017,Red
208,Pinot Noir,Italy,Valle d'Aosta,Ottin - Viticulteur Encaveur,4.0,106,22.5,2017,Red
209,Protocolo Tinto,Spain,Castilla,Dominio de Eguren,3.7,106,5.95,2018,Red
210,Rouge,France,Bordeaux,Bad Boy (Mauvais Garçon),3.9,106,16.9,2016,Red
211,Côte de Nuits Villages Le Vaucrain,France,Côte de Nuits Villages,Louis Jadot,4.0,106,32.0,2016,Red
212,Vino Nobile di Montepulciano,Italy,Vino Nobile di Montepulciano,Talosa,3.9,106,17.79,2016,Red
213,Yotuel Selección,Spain,Ribera del Duero,Gallego Zapatero,3.6,106,15.75,2014,Red
214,Lanzaga Rioja,Spain,Rioja,Telmo Rodriguez,3.8,106,19.95,2014,Red
215,Elysian Collection Merlot,United States,California,Bonterra,3.8,106,26.7,2016,Red
216,La Tiare du Pape Châteauneuf-du-Pape Rouge,France,Châteauneuf-du-Pape,Maison Bouachon,3.9,106,45.0,2015,Red
217,Spätburgunder Trocken,Germany,Pfalz,Ökonomierat Rebholz,3.9,106,21.4,2015,Red
218,El Chocolatero Cariñena,Spain,Cariñena,San Valero,3.2,106,7.75,2014,Red
219,Hermitage La Chapelle Rouge,France,Hermitage,Paul Jaboulet Aîné,4.3,106,249.95,2016,Red
220,Mas Oliveras Tempranillo,Spain,Catalunya,Ramón Roqueta,3.2,106,6.5,2018,Red
221,Pannobile,Austria,Burgenland,Pittnauer,3.9,106,22.13,2015,Red
222,Tempus,Italy,Veneto,Stefano Accordini,3.8,106,10.42,2018,Red
223,Le Clos des Fées (Hervé Bizeul),France,Côtes du Roussillon,Domaine du Clos des Fées,4.1,106,52.53,2013,Red
224,Tío Martín Crianza,Spain,Rioja,D. Mateos,3.8,106,15.69,2016,Red
225,Vigna Del Mandorlo Dolcetto d'Alba,Italy,Dolcetto d'Alba,Elvio Cogno,3.4,106,11.5,2017,Red
226,Barolo Bussia,Italy,Barolo,Prunotto,4.1,106,69.0,2015,Red
227,Tinto,Spain,Rioja,Gran Familia,3.5,106,5.8,2015,Red
228,Finca Cuesta Clara Raro Reserva,Spain,Rioja,Campillo,4.2,106,39.99,2015,Red
229,Fronsac,France,Fronsac,Château la Vieille Cure,4.0,106,39.95,2005,Red
230,Ventoux,France,Ventoux,Xavier Vignon,3.6,106,8.2,2016,Red
231,Hussonet Cabernet Sauvignon Gran Reserva,Chile,Maipo Valley,Haras de Pirque,3.7,1060,15.95,2015,Red
232,Salice Salentino Riserva,Italy,Salice Salentino,Marchese di Borgosole,3.9,1061,8.49,2016,Red
233,Chianti Classico,Italy,Chianti Classico,Isole e Olena,3.9,1063,20.86,2016,Red
234,Joseph Meczan Pinot Nero - Blauburgunder Alto Adige,Italy,Südtirol - Alto Adige,J. Hofstätter,3.6,1064,13.48,2016,Red
235,Brunello di Montalcino,Italy,Brunello di Montalcino,Tenuta Il Poggione,4.2,1065,36.63,2014,Red
236,Cabernet Sauvignon,United States,Columbia Valley,Columbia Winery,3.8,1065,17.75,2015,Red
237,Saint-Julien (Grand Cru Classé),France,Saint-Julien,Château Léoville Barton,4.4,1066,133.06,2009,Red
238,Pessac-Léognan (Grand Cru Classé de Graves),France,Pessac-Léognan,Château Smith Haut-Lafitte,4.4,1066,169.95,2005,Red
239,Cabernet Sauvignon,Mexico,Valle de Guadalupe,L. A. Cetto,3.4,1066,8.65,2013,Red
240,Malbec,Argentina,Mendoza,Catena,4.1,10676,13.5,2017,Red
241,Saint-Estèphe (Grand Cru Classé),France,Saint-Estèphe,Château Lafon-Rochet,4.2,1069,75.98,2009,Red
242,Amarone della Valpolicella Classico,Italy,Amarone della Valpolicella Classico,Bolla,4.1,1069,28.99,2014,Red
243,Saint-Émilion Grand Cru (Premier Grand Cru Classé),France,Saint-Émilion Grand Cru,Château Belair-Monange,4.0,107,130.97,2014,Red
244,Margaux (Grand Cru Classé),France,Margaux,Château Lascombes,4.0,107,86.76,2017,Red
245,Pauillac (Grand Cru Classé),France,Pauillac,Château d'Armailhac,3.9,107,52.64,2017,Red
246,Figure Libre Freestyle Rouge,France,Pays d'Oc,Gayda,3.7,107,11.45,2018,Red
247,Pinot Noir,France,Pays d'Oc,La Forge Estate,3.6,107,7.27,2018,Red
248,Tinto,Spain,Alicante,Vergel,3.6,107,7.35,2018,Red
249,Les Coteaux Cabernet Sauvignon,South Africa,Wellington,Mont du Toit,3.8,107,11.5,2015,Red
250,Mayro Montepulciano d'Abruzzo,Italy,Montepulciano d'Abruzzo,Fosso Corno,3.7,107,7.75,2015,Red
251,Barbera d'Alba,Italy,Barbera d'Alba,Comm. G.B. Burlotto,3.9,107,17.0,2018,Red
252,Blauer Spätburgunder,Germany,Baden,Ziereisen,3.7,107,11.31,2015,Red
253,Promontory,United States,Napa Valley,Promontory,4.7,107,721.34,2013,Red
254,Tempranillo - Merlot,Spain,Ribera del Duero,Rolland & Galarreta 'R&G',3.7,107,13.95,2015,Red
255,Sankt Laurent,Austria,Burgenland,Umathum,3.6,107,13.2,2017,Red
256,Gigondas,France,Gigondas,M. Chapoutier,3.9,107,24.8,2017,Red
257,Driopi Classic Agiorgitiko Nemea,Greece,Nemea,Κτημα Τσελεπου (Ktima Tselepos),3.7,107,11.5,2017,Red
258,Magna Malbec,Argentina,San Juan,Callia,3.5,107,8.95,2018,Red
259,Nero,Italy,Salento,Conti Zecca,4.0,107,25.12,2010,Red
260,Salice Salentino,Italy,Salice Salentino,Epicuro,3.6,107,6.25,2017,Red
261,Valpolicella Superiore,Italy,Valpolicella,Rocca Sveva,3.7,107,15.84,2014,Red
262,Gevrey-Chambertin,France,Gevrey-Chambertin,Chanson,4.1,107,50.9,2015,Red
263,Pago de los Balagueses Garnacha Tintorera - Merlot,Spain,Valencia,Vegalfaro,3.8,107,16.9,2014,Red
264,Barolo Liste,Italy,Barolo,Borgogno,4.2,107,80.01,2013,Red
265,Adrianna Vineyard Fortuna Terrae Malbec,Argentina,Mendoza,Catena Zapata,4.6,107,89.9,2016,Red
266,Malbec de Purcari,Moldova,South Eastern,Château Purcari,4.1,107,11.98,2018,Red
267,Esprit de Granit Saint-Joseph,France,Saint-Joseph,Cave de Tain,4.0,107,27.93,2012,Red
268,Bachgart Blauburgunder,Italy,Südtirol - Alto Adige,Klaus Lentsch,3.8,107,19.9,2016,Red
269,Crianza,Spain,Rioja,Campo Viejo,3.5,1070,7.99,2016,Red
270,Margaux de Brane (Margaux de Henri Lurton),France,Margaux,Château Brane-Cantenac,3.8,1070,34.2,2014,Red
271,Shiraz,South Africa,Swartland,Allesverloren,3.6,1070,10.9,2017,Red
